X;Y;CODESC;NOMEESC;END_ESC;NUM_ESC;BAIRRO;NOMDIST
-46.682038;-23.451721;35294512;SOL BRILHANTE SS LTDA ESCOLA DE EDUC INFANTIL;RUA DOM TOMAS DE NORONHA;125;JARDIM VISTA ALEGRE;BRASILANDIA
-46.680844;-23.451998;35294559;RECANTO COLEGIO;RUA REALEJO;52;JARDIM VISTA ALEGRE;BRASILANDIA
-46.680168;-23.450961;35182709;CR P CONV SANTA TEREZINHA;JARAQUI;148;JARDIM VISTA ALEGRE;BRASILANDIA
-46.679108;-23.450568;35046243;FLAMINIO FAVERO PROFESSOR;AV GENERAL PENHA BRASIL;3001;VL N CACHOEIRINHA;BRASILANDIA
-46.677917;-23.45897;35053053;EMEF CASTRO ALVES;RUA AGENOR ALVES MEIRA;285;JARDIM DOS FRANCOS;BRASILANDIA
-46.676129;-23.455671;35463152;CR P CONV MARQUES DOS FRANCOS;ARI CARNEIRO FERNANDES;349;JARDIM DOS FRANCOS;BRASILANDIA
-46.674495;-23.455185;35296314;CR P CONV CANTINHO DA SERRA;GERVASIO LEITE REBELO;1138;JARDIM PERI;CACHOEIRINHA
-46.673908;-23.461387;35000103;JOAO BOEMER JARDIM PROFESSOR;R CRISTOVAO SANTIAGO;50;JD ONDINA;BRASILANDIA
-46.673287;-23.461585;35087117;EMEI LUCAS NOGUEIRA GARCEZ GOV;RUA JOSE DA COSTA GAVIAO;140;JARDIM CECY;BRASILANDIA
-46.67292;-23.460005;35391136;EMEI BERNARDINO PIMENTEL MENDES DR;INAJAR DE SOUZA;6955;JARDIM PERI;CACHOEIRINHA
-46.67292;-23.460005;35249749;EMEF PRIMO PASCOLI MELARE PROF;INAJAR DE SOUZA;6975;JARDIM PERI;CACHOEIRINHA
-46.672453;-23.460935;35320924;CR P CONV CANTINHO DO PROGRESSO II;RUA MESTRE SIMEAO JOSE DE NAZARE;369;JARDIM CECY;CACHOEIRINHA
-46.673714;-23.456643;35362992;CR P CONV CANTINHO DA SERRA II;DARIO VILARES BARBOSA;537;JARDIM PERI;CACHOEIRINHA
-46.671347;-23.457708;35906141;ASSIS JOSE AMBROSIO;RUA ALFARROBEIRAS;68;JARDIM PERI;CACHOEIRINHA
-46.675785;-23.452059;35343572;CR P CONV CRIA;GENERAL PENHA BRASIL;2651;VILA NOVA CACHOEIRINHA;BRASILANDIA
-46.675785;-23.452059;35295346;CEI INDIR RAIO DE LUZ;GENERAL PENHA BRASIL;2651;VILA NOVA CACHOEIRINHA;BRASILANDIA
-46.675882;-23.45149;35191383;CEI INDIR JARDIM ITAGUACU;GENERAL PENHA BRASIL;2720;VILA NOVA CACHOEIRINHA;BRASILANDIA
-46.66885;-23.4604;35301231;JARDIM SANTA CRUZ COLEGIO;RUA DOUTOR PAULO FURTADO DE OLIVEIRA;221;JARDIM SANTA CRUZ ZONA NORTE;CACHOEIRINHA
-46.668413;-23.460242;35434140;CR P CONV CIRANDINHA DAS ROSAS;DOUTOR PAULO FURTADO DE OLIVEIRA;274;JARDIM SANTA CRUZ ZONA NORTE;CACHOEIRINHA
-46.667947;-23.460596;35388324;CR P CONV CANTINHO DA SERRA III;PROFESSOR SYLVIO MARCONDES MACHADO;300;JARDIM SANTA CRUZ ZONA NORTE;CACHOEIRINHA
-46.666792;-23.460567;35480307;CR P CONV RECRIAR;FRANCISCO ALVES PEREIRA;538;JARDIM SANTA CRUZ ZONA NORTE;CACHOEIRINHA
-46.667613;-23.459718;35183143;CR P CONV BRINCANDO TAMBEM SE APRENDE;DOUTOR PAULO FURTADO DE OLIVEIRA;370;JARDIM SANTA CRUZ;CACHOEIRINHA
-46.669419;-23.456107;35059596;CR P CONV ANANDA MARGA LAR DE CRIANCA;RUA ANTONIO LOPES DE BARROS;825;JARDIM PERI;CACHOEIRINHA
-46.664049;-23.460924;35052656;EMEI ROSA E CAROLINA AGAZZI;RUA DR ARAUJO CASTRO;SN;JARDIM PERI;CACHOEIRINHA
-46.664514;-23.457134;35048604;PAULO LEIVAS MACALAO PASTOR;RUA ALTO SUCURIU;327;JARDIM PERI;CACHOEIRINHA
-46.662461;-23.454213;35183027;CEI INDIR INACIO DE LIMA OLIVEIRA;CAETANO NOGUEIRA DA COSTA;571;JARDIM PERI;CACHOEIRINHA
-46.651063;-23.87856;35038283;JOAQUIM ALVARES CRUZ PROF;RUA DOIS;2;BARRAGEM;PARELHEIROS
-46.65246;-23.86797;35925135;INDIGENA GUARANI GWYRA PEPO;ESTRADA JOAO LANG;153;CIPO DO MEIO;PARELHEIROS
-46.652727;-23.867688;35267200;CECI TENONDE PORA;JOAO LANG;153;BARRAGEM;PARELHEIROS
-46.63997;-23.878914;35924817;BARRAGEM II;RUA MANOEL DA COSTA CAPANEMA;19;JD VERA CRUZ ZONA SUL;PARELHEIROS
-46.633957;-23.87646;35267193;CECI KRUKUTU;ESTRADA DO CURUCUTU;SN;PARELHEIROS;PARELHEIROS
-46.660168;-23.744412;35249804;CEU EMEF JARDIM ELIANA;MARIA MOASSAB BARBOUR;SN;CANTINHO DO CEU;GRAJAU
